,code,day,open,high,low,close
99,IF1909,20190905,3914.8,3980.6,3914,3923.6
100,IF1909,20190906,3941,3958,3928.2,3958
101,IF1909,20190909,3980,3983.8,3952.6,3968.2
102,IF1909,20190910,3976.2,3978,3938.2,3960.6
103,IF1909,20190911,3969,3972.6,3926,3933.8
104,IF1909,20190912,3953.4,3987.6,3942,3976.8
105,IF1909,20190916,3976.8,3978.8,3938.6,3959.8
106,IF1909,20190917,3949.8,3951.8,3875.6,3888.4
107,IF1909,20190918,3903.4,3922,3898.6,3904.2
108,IF1909,20190919,3916.6,3925,3893.2,3925
109,IF1909,20190920,3930.6,3939.4,3922,3932
110,IF1910,20190923,3912.2,3913,3867.6,3894.8
111,IF1910,20190924,3902,3934,3889.2,3894.6
112,IF1910,20190925,3884.6,3894,3868.6,3869.6
113,IF1910,20190926,3885,3895.4,3841.8,3844.4
114,IF1910,20190927,3852.2,3864.2,3840.2,3855.8
115,IF1910,20190930,3850,3859.4,3792.6,3794
116,IF1910,20191008,3811,3855.8,3810,3828
117,IF1910,20191009,3811,3839.6,3795.6,3832.8
118,IF1910,20191010,3824.8,3871.2,3820.8,3863.8
119,IF1910,20191011,3875.8,3926.6,3857.2,3913.4
120,IF1910,20191014,3943.4,3988.6,3931.4,3945.2
121,IF1910,20191015,3943,3948.6,3931,3934.8
122,IF1910,20191016,3938.8,3968.4,3915,3917.8
123,IF1910,20191017,3925.6,3938.6,3913,3926.8
124,IF1910,20191018,3932.4,3944.8,3876,3880.6
125,IF1911,20191021,3856.6,3875,3847,3866.8
126,IF1911,20191022,3879,3892.4,3852.4,3878.8
127,IF1911,20191023,3874,3888.8,3843,3862.8
128,IF1911,20191024,3865.4,3884.8,3841.6,3870.4
129,IF1911,20191025,3864,3902,3837.2,3899
130,IF1911,20191028,3908,3930,3895.6,3919
131,IF1911,20191029,3920.4,3924.6,3903.6,3905
132,IF1911,20191030,3900.2,3906,3870,3877
133,IF1911,20191031,3891.6,3896.6,3865,3879
134,IF1911,20191101,3875,3960,3866.6,3959.4
135,IF1911,20191104,3969.8,3982.8,3960.2,3974.2
136,IF1911,20191105,3978.6,4039.8,3968.8,3996.4
137,IF1911,20191106,3999,4004.4,3969.4,3983
138,IF1911,20191107,3979.6,4014,3971.6,3990.2
139,IF1911,20191108,4015.4,4021.8,3967.2,3968.8
140,IF1911,20191111,3940,3945.8,3894,3906.6
141,IF1911,20191112,3913,3920.6,3876.8,3897.6
142,IF1911,20191113,3891,3905.8,3880.6,3900
143,IF1911,20191114,3906.4,3915.6,3891.8,3900
144,IF1911,20191115,3906,3919.8,3880.2,3892.4
145,IF1912,20191118,3877.6,3919.6,3867,3908.8
146,IF1912,20191119,3904.6,3953.6,3902.2,3953.6
147,IF1912,20191120,3941.8,3947.4,3896.6,3907.8
148,IF1912,20191121,3890.2,3906.6,3870.2,3888.4
149,IF1912,20191122,3901,3928.8,3828.2,3839.6
150,IF1912,20191125,3853.6,3877.8,3842.2,3873.4
151,IF1912,20191126,3890,3896.8,3860.8,3875.8
152,IF1912,20191127,3873,3894.6,3854.8,3878.8
153,IF1912,20191128,3874.8,3893,3856.2,3868.6
154,IF1912,20191129,3861,3872,3808,3827.4
155,IF1912,20191202,3842.4,3854.8,3828.2,3838
156,IF1912,20191203,3828.6,3858,3812,3856.6
157,IF1912,20191204,3842.2,3854.8,3829.2,3852.4
158,IF1912,20191205,3864,3893,3861.4,3880
159,IF1912,20191206,3884,3910.6,3881.8,3909.6
160,IF1912,20191209,3915.8,3917.8,3888.6,3900.4
161,IF1912,20191210,3889.4,3910,3888,3903
162,IF1912,20191211,3910,3913.6,3892,3909.2
163,IF1912,20191212,3915,3915.8,3894,3895.4
164,IF1912,20191213,3930,3988,3929,3979.6
165,IF1912,20191216,3969,3994.4,3960.4,3988
166,IF1912,20191217,3991.6,4081,3987.2,4048.2
167,IF1912,20191218,4049.6,4068,4032,4038.4
168,IF1912,20191219,4038,4043,4019,4028.8
169,IF1912,20191220,4038,4048,4025,4026.8
170,IF2001,20191223,4031,4053,3972.6,3979.4
171,IF2001,20191224,3990,4008.6,3977.4,3998.4
172,IF2001,20191225,3996,4011.2,3982.4,4002.8
173,IF2001,20191226,4005,4036,4003.6,4034.6
174,IF2001,20191227,4038.8,4083,4028,4028
175,IF2001,20191230,4027.6,4106.2,4014.2,4090.8
176,IF2001,20191231,4090,4116.2,4077.4,4109.4
